 #Energy          XX              YY             ZZ              XY              YZ              XZ
 1.133456E+02  7.82640261E-01  1.02132604E+00  9.79754129E-01  0.00000000E+00  0.00000000E+00  4.07888411E-01
 1.126986E+02  7.64998257E-01  9.90344612E-01  9.50596979E-01  0.00000000E+00  0.00000000E+00  3.83970950E-01
 1.120579E+02  7.53728200E-01  9.64877236E-01  9.25529610E-01  0.00000000E+00  0.00000000E+00  3.58297276E-01
 1.114244E+02  7.42998912E-01  9.45815154E-01  9.01628013E-01  0.00000000E+00  0.00000000E+00  3.35800082E-01
 1.107991E+02  7.30433079E-01  9.30466141E-01  8.79242507E-01  0.00000000E+00  0.00000000E+00  3.17096839E-01
 1.101798E+02  7.18652530E-01  9.16792558E-01  8.60151582E-01  0.00000000E+00  0.00000000E+00  2.97611563E-01
 1.095673E+02  7.10398972E-01  9.08163456E-01  8.43447854E-01  0.00000000E+00  0.00000000E+00  2.76074122E-01
 1.089626E+02  7.06459893E-01  9.06252604E-01  8.27807127E-01  0.00000000E+00  0.00000000E+00  2.53958401E-01
 1.083636E+02  7.06639421E-01  9.08525178E-01  8.13385926E-01  0.00000000E+00  0.00000000E+00  2.29824158E-01
 1.077711E+02  7.08987305E-01  9.12291486E-01  8.01142889E-01  0.00000000E+00  0.00000000E+00  2.02744347E-01
 1.071860E+02  7.10051590E-01  9.15012198E-01  7.88974532E-01  0.00000000E+00  0.00000000E+00  1.80172867E-01
 1.066063E+02  7.08367351E-01  9.14342166E-01  7.74319049E-01  0.00000000E+00  0.00000000E+00  1.64536949E-01
 1.060337E+02  7.07530406E-01  9.13181118E-01  7.60330800E-01  0.00000000E+00  0.00000000E+00  1.50657523E-01
 1.054664E+02  7.08472589E-01  9.15553274E-01  7.49774989E-01  0.00000000E+00  0.00000000E+00  1.34595263E-01
 1.049051E+02  7.10260874E-01  9.17585202E-01  7.42528479E-01  0.00000000E+00  0.00000000E+00  1.12171544E-01
 1.043506E+02  7.13399328E-01  9.14507416E-01  7.40068024E-01  0.00000000E+00  0.00000000E+00  8.49741393E-02
 1.038011E+02  7.17153468E-01  9.06997574E-01  7.43500127E-01  0.00000000E+00  0.00000000E+00  5.92094074E-02
 1.032573E+02  7.19202729E-01  8.95535716E-01  7.48775304E-01  0.00000000E+00  0.00000000E+00  3.47940440E-02
 1.027201E+02  7.18212699E-01  8.78924632E-01  7.51191400E-01  0.00000000E+00  0.00000000E+00  5.94906169E-03
 1.021876E+02  7.17478783E-01  8.58382800E-01  7.51172783E-01  0.00000000E+00  0.00000000E+00  2.55074266E-02
 1.016606E+02  7.22094989E-01  8.38989812E-01  7.51412263E-01  0.00000000E+00  0.00000000E+00  5.24945959E-02
 1.011398E+02  7.35256267E-01  8.26073358E-01  7.54809309E-01  0.00000000E+00  0.00000000E+00  7.70401827E-02
 1.006235E+02  7.55379330E-01  8.20654012E-01  7.62999975E-01  0.00000000E+00  0.00000000E+00  9.94755517E-02
 1.001124E+02  7.76654782E-01  8.19712864E-01  7.74581676E-01  0.00000000E+00  0.00000000E+00  1.16825579E-01
 9.960730E+01  7.93649831E-01  8.20150919E-01  7.87101624E-01  0.00000000E+00  0.00000000E+00  1.33538339E-01
 9.910648E+01  8.06193919E-01  8.23467838E-01  8.00774711E-01  0.00000000E+00  0.00000000E+00  1.50034668E-01
 9.861068E+01  8.16823928E-01  8.34282618E-01  8.17092464E-01  0.00000000E+00  0.00000000E+00  1.58965798E-01
 9.812059E+01  8.28048821E-01  8.51595559E-01  8.36135561E-01  0.00000000E+00  0.00000000E+00  1.59290261E-01
 9.763457E+01  8.39334755E-01  8.68824881E-01  8.55921734E-01  0.00000000E+00  0.00000000E+00  1.54008612E-01
 9.715335E+01  8.47566595E-01  8.84350784E-01  8.72609520E-01  0.00000000E+00  0.00000000E+00  1.41430749E-01
 9.667760E+01  8.53420937E-01  8.99313658E-01  8.84187962E-01  0.00000000E+00  0.00000000E+00  1.20297113E-01
 9.620575E+01  8.59412854E-01  9.11954265E-01  8.91303785E-01  0.00000000E+00  0.00000000E+00  9.40277256E-02
 9.573847E+01  8.64902831E-01  9.22514270E-01  8.95037514E-01  0.00000000E+00  0.00000000E+00  7.25870835E-02
 9.527645E+01  8.69386305E-01  9.32759160E-01  8.94618056E-01  0.00000000E+00  0.00000000E+00  6.51153676E-02
 9.481813E+01  8.73551179E-01  9.42513565E-01  8.89560964E-01  0.00000000E+00  0.00000000E+00  7.28077809E-02
 9.436421E+01  8.76173745E-01  9.52470612E-01  8.81807261E-01  0.00000000E+00  0.00000000E+00  8.89918094E-02
 9.391532E+01  8.75727366E-01  9.63807541E-01  8.72860898E-01  0.00000000E+00  0.00000000E+00  1.09063258E-01
 9.346998E+01  8.72743055E-01  9.76769426E-01  8.64233041E-01  0.00000000E+00  0.00000000E+00  1.30192254E-01
 9.302954E+01  8.68877181E-01  9.91636558E-01  8.57369193E-01  0.00000000E+00  0.00000000E+00  1.47800588E-01
 9.259254E+01  8.65699650E-01  1.00771357E+00  8.53074592E-01  0.00000000E+00  0.00000000E+00  1.58280354E-01
 9.215963E+01  8.64151751E-01  1.02121048E+00  8.51258406E-01  0.00000000E+00  0.00000000E+00  1.65034729E-01
 9.173142E+01  8.62465659E-01  1.02771575E+00  8.50057615E-01  0.00000000E+00  0.00000000E+00  1.76274340E-01
 9.130651E+01  8.58981672E-01  1.02701625E+00  8.49957992E-01  0.00000000E+00  0.00000000E+00  1.93116405E-01
 9.088551E+01  8.54341280E-01  1.02425345E+00  8.51054253E-01  0.00000000E+00  0.00000000E+00  2.13568375E-01
 9.046903E+01  8.51265794E-01  1.02434959E+00  8.53387587E-01  0.00000000E+00  0.00000000E+00  2.29129025E-01
